Q_LBS, eps, pathLength, niters, approxDist, origDist, truePath
QRome_LBS1, 1, 6, 3, 0.40200377652776614, 0.3333333333333333, 3126 3127 3126 3125 3124 3186
QRome_LBS2, 1, 6, 3, 1.5797847774365126, 1.438982735513184, 3126 3127 3126 3125 3124 3186
QRome_LBS1, 0.3, 6, 3, 3.8820402301686947, 3.802775637731995, 1608 1478 1479 1478 1479 1543
QRome_LBS2, 0.3, 6, 3, 5.900475696874591, 5.385164807134504, 1608 1478 1479 1478 1479 1543
QRome_LBS0, 0.4, 6, 3, 2.168845927660163, 2.8707061664865483, 1608 1478 1479 1478 1479 1543
QRome_LBS1, 0.4, 6, 3, 1.054737854124365, 1.2071067811865475, 1608 1478 1479 1478 1479 1543
QRome_LBS0, 0.5, 6, 3, 1.4023689270621826, 2.321997967894374, 1608 1478 1479 1478 1479 1543
QRome_LBS1, 0.5, 6, 3, 2.3538509376029437, 2.0, 1608 1478 1479 1478 1479 1543
QRome_LBS2, 0.5, 6, 3, 1.785796107019811, 1.4142135623730951, 1608 1478 1479 1478 1479 1543
QRome_LBS1, 0.6, 6, 3, 1.1666666666666667, 1.0, 1608 1478 1479 1478 1479 1543
QRome_LBS2, 0.6, 6, 3, 1.2849439002495533, 1.1610830520339814, 1608 1478 1479 1478 1479 1543
QRome_LBS0, 0.8, 6, 3, 0.5265949258121708, 1.2160418875638754, 1608 1478 1479 1478 1479 1543
QRome_LBS1, 0.8, 6, 3, 1.1898004369443744, 1.0786893258332633, 1608 1478 1479 1478 1479 1543
QRome_LBS2, 0.8, 6, 3, 1.0690355937288492, 1.0690355937288492, 1608 1478 1479 1478 1479 1543
QRome_LBS0, 1, 6, 3, 0.4444444444444445, 0.9992925747621589, 1608 1478 1479 1478 1479 1543
QRome_LBS1, 1, 6, 3, 0.8989077715277194, 1.0786893258332633, 1608 1478 1479 1478 1479 1543
QRome_LBS2, 1, 6, 3, 1.2208567949894071, 1.0345177968644246, 1608 1478 1479 1478 1479 1543
QRome_LBS0, 0.3, 7, 3, 3.2133903838780196, 3.996893066448929, 1241 1239 1303 1430 1238 1176 1239
