Q_LBS, eps, pathLength, niters, approxDist, origDist, truePath, time
Q7_LBS0, 0.4, 6, 5, 1.3157202584053096, 1.7308541407734834, 53 52 51 41 42 52, 0:00:04.197911
Q7_LBS1, 0.4, 6, 5, 2.8854087064368192, 2.8670993433774496, 53 52 51 41 42 52, 0:00:06.883354
Q7_LBS2, 0.4, 6, 5, 1.375558247374302, 1.375558247374302, 53 52 51 41 42 52, 0:00:07.536652
Q7_LBS0, 0.5, 6, 5, 1.9678192118953808, 2.039800548607799, 53 52 51 41 42 52, 0:00:04.582465
Q7_LBS1, 0.5, 6, 5, 1.7543935201073604, 1.7934459492824872, 53 52 51 41 42 52, 0:00:06.790746
Q7_LBS2, 0.5, 6, 5, 1.5088915807076355, 1.5088915807076355, 53 52 51 41 42 52, 0:00:07.765708
Q7_LBS0, 0.6, 6, 5, 1.1737734478532142, 1.5983205260670823, 53 52 51 41 42 52, 0:00:04.741626
Q7_LBS1, 0.6, 6, 5, 1.6919836804998205, 1.515298244508295, 53 52 51 41 42 52, 0:00:07.674511
Q7_LBS2, 0.6, 6, 5, 1.3257566344915117, 1.3257566344915117, 53 52 51 41 42 52, 0:00:07.794062
Q7_LBS0, 0.8, 6, 5, 1.0140993524872746, 1.3746297593068038, 53 52 51 41 42 52, 0:00:05.006576
Q7_LBS1, 0.8, 6, 5, 1.6616050019360762, 1.6553674759377783, 53 52 51 41 42 52, 0:00:06.595074
Q7_LBS2, 0.8, 6, 5, 0.9766854359915257, 0.9766854359915257, 53 52 51 41 42 52, 0:00:07.387181
Q7_LBS0, 1, 6, 5, 0.7488896981355904, 0.8096716367404015, 53 52 51 41 42 52, 0:00:04.616437
Q7_LBS1, 1, 6, 5, 0.882842712474619, 0.882842712474619, 53 52 51 41 42 52, 0:00:07.759149
Q7_LBS2, 1, 6, 5, 0.7266329957741111, 0.7266329957741111, 53 52 51 41 42 52, 0:00:08.285155
Q6_LBS0, 0.3, 6, 5, 2.8617250049785903, 3.9635434724159677, 44 34 35 25 35 25, 0:00:04.975717
Q6_LBS1, 0.3, 6, 5, 3.057076657157208, 3.057076657157208, 44 34 35 25 35 25, 0:00:03.087389
Q6_LBS2, 0.3, 6, 5, 3.3931173056988624, 3.3942493912471154, 44 34 35 25 35 25, 0:00:04.853606
Q6_LBS0, 0.4, 6, 5, 1.9634805084390035, 2.931366028807458, 44 34 35 25 35 25, 0:00:04.423760
Q6_LBS1, 0.4, 6, 5, 1.094427190999916, 1.094427190999916, 44 34 35 25 35 25, 0:00:01.906043
Q6_LBS2, 0.4, 6, 5, 3.251748940452352, 3.251748940452352, 44 34 35 25 35 25, 0:00:05.180979
Q6_LBS0, 0.5, 6, 5, 1.255301618403934, 2.079233718981801, 44 34 35 25 35 25, 0:00:04.831236
Q6_LBS1, 0.5, 6, 5, 1.412899020449196, 1.412899020449196, 44 34 35 25 35 25, 0:00:03.109285
Q6_LBS2, 0.5, 6, 5, 1.7294366269688817, 1.7294366269688817, 44 34 35 25 35 25, 0:00:04.460581
Q6_LBS0, 0.6, 6, 5, 1.0595281484661447, 1.6018641271063574, 44 34 35 25 35 25, 0:00:05.565117
Q6_LBS1, 0.6, 6, 5, 0.6472135954999579, 0.6472135954999579, 44 34 35 25 35 25, 0:00:03.010770
Q6_LBS2, 0.6, 6, 5, 3.385203946194604, 3.385203946194604, 44 34 35 25 35 25, 0:00:05.534503
